,Snow/Ice,Bare Rock,Sparse Vegetation,Moderate Vegetation,Dense Vegetation
Snow/Ice,3269701,1002057,405,77,0
Bare Rock,480074,7688473,409186,12853,96
Sparse Vegetation,975,311657,1253325,79287,277
Moderate Vegetation,8,13373,64378,272425,7173
Dense Vegetation,0,279,973,13505,9443
