,Snow/Ice,Bare Rock,Sparse Vegetation,Moderate Vegetation,Dense Vegetation
Snow/Ice,2828122,770597,6991,799,12
Bare Rock,599170,8470734,326880,17645,190
Sparse Vegetation,585,388671,1069598,38482,125
Moderate Vegetation,36,35611,81579,232596,4737
Dense Vegetation,0,748,839,9648,5605
