,Snow/Ice,Bare Rock,Sparse Vegetation,Moderate Vegetation,Dense Vegetation
Snow/Ice,2805882,621770,241,20,0
Bare Rock,944102,8088045,589946,43173,1095
Sparse Vegetation,770,291696,1091283,100808,1330
Moderate Vegetation,4,14141,46618,229351,9056
Dense Vegetation,0,187,179,4795,5508
